x,y,z,dx,dy,dz,Epoch
4589.145709854,4646.01762001078,-2281.90722500906,-5.67077385381489,4.32027697574623,-2.61113286223755,2021-04-05T19:40:00.000
4239.19605063626,4894.97463040866,-2433.50097093394,-5.98999181859162,3.97529730954559,-2.44016362995998,2021-04-05T19:41:00.000
3870.86687269481,5122.70937355674,-2574.5150437644,-6.28320451599728,3.61312388469991,-2.25860511363293,2021-04-05T19:42:00.000
3485.75693887554,5328.2369703494,-2704.33757089562,-6.5491496994097,3.23532639678148,-2.06724730327714,2021-04-05T19:43:00.000
3085.53721643236,5510.66871746472,-2822.4053324293,-6.78668340954913,2.84353953275191,-1.8669213061641,2021-04-05T19:44:00.000
2671.94375859203,5669.2157543021,-2928.20612574327,-6.99477991744102,2.43945685273711,-1.65849657086858,2021-04-05T19:45:00.000
2246.77040719432,5803.19265503191,-3021.28107869645,-7.17254198457755,2.0248311224326,-1.44288054641373,2021-04-05T19:46:00.000
1811.86070453757,5912.02048670615,-3101.22666222118,-7.31920918104573,1.6014565154483,-1.22100899419065,2021-04-05T19:47:00.000
1369.09986777574,5995.22901583339,-3167.69625403428,-7.43415294137613,1.17116180337374,-0.993842934936311,2021-04-05T19:48:00.000
920.406765617956,6052.458635894,-3220.40156534974,-7.51688046942906,0.735804494756615,-0.762364992735191,2021-04-05T19:49:00.000
467.725746351756,6083.46188197331,-3259.11382928495,-7.56703593202403,0.297263971605506,-0.52757637152379,2021-04-05T19:50:00.000
13.0182890979508,6088.10449153954,-3283.66483590324,-7.5844043554293,-0.14256752025009,-0.290493352083346,2021-04-05T19:51:00.000
-441.74543701319,6066.3658717785,-3293.94764306333,-7.56891042396613,-0.581794440647982,-0.052141100382701,2021-04-05T19:52:00.000
-894.594885410241,6018.339124919,-3289.91699352465,-7.52061729715454,-1.01852331670345,0.186449800075318,2021-04-05T19:53:00.000
-1343.56749504894,5944.2307462922,-3271.58954694698,-7.43972799029198,-1.45086914973954,0.424246808125686,2021-04-05T19:54:00.000
-1786.71710556376,5844.35985659423,-3239.04385277913,-7.32658635303321,-1.87696442795936,0.660220308020615,2021-04-05T19:55:00.000
-2222.12236680299,5719.15686738301,-3192.42002215346,-7.18167479733945,-2.29496820156471,0.89334860590328,2021-04-05T19:56:00.000
-2647.89496394564,5569.16167414215,-3131.91913115032,-7.0056118197037,-2.70307325074528,1.12262185884494,2021-04-05T19:57:00.000
-3062.18771909455,5395.02140389714,-3057.80239230912,-6.79914987789233,-3.09951359484523,1.3470460966053,2021-04-05T19:58:00.000
-3463.20255490453,5197.4877203769,-2970.39007941531,-6.56317257716437,-3.48257198333041,1.56564715898886,2021-04-05T19:59:00.000
-3849.19827135285,4977.41366127045,-2870.06021866242,-6.29869153125419,-3.85058772422026,1.77747490754335,2021-04-05T20:00:00.000
-4218.49808392416,4735.75002871578,-2757.24701029457,-6.00684162394575,-4.201964001962,1.98160777800368,2021-04-05T20:01:00.000
-4569.4968805306,4473.54135688268,-2632.43898681623,-5.68887619110011,-4.53517405670008,2.17715675456323,2021-04-05T20:02:00.000
-4900.66818727251,4191.9215270456,-2496.17696079025,-5.34616239823121,-4.84876761134818,2.36326899654337,2021-04-05T20:03:00.000
-5210.57084938756,3892.10898063005,-2349.05172621062,-4.98017617554008,-5.14137734384261,2.53913182216448,2021-04-05T20:04:00.000
-5497.85538292544,3575.40153267779,-2191.70153554052,-4.59249577712712,-5.41172585723599,2.70397652752409,2021-04-05T20:05:00.000
-5761.26985480237,3243.17082803717,-2024.8093757054,-4.18479398976955,-5.65863011839409,2.85708122480686,2021-04-05T20:06:00.000
-5999.66544158729,2896.85655051536,-1849.10007173643,-3.75883398611086,-5.88100644801695,2.99777361990553,2021-04-05T20:07:00.000
-6212.00163629427,2537.96021275039,-1665.33719612536,-3.31646151727724,-6.07787854275341,3.1254351326296,2021-04-05T20:08:00.000
-6397.35089843407,2168.0385855852,-1474.31974630744,-2.85959492869994,-6.24838140071436,3.23950412045364,2021-04-05T20:09:00.000
-6554.90275583847,1788.69692993247,-1276.8786352564,-2.39021665726962,-6.39176388812276,3.33947850126304,2021-04-05T20:10:00.000
-6683.96740138344,1401.58208353311,-1073.8730711046,-1.91036510380857,-6.50739214041982,3.42491768986774,2021-04-05T20:11:00.000
-6783.9787836067,1008.37531890299,-866.186822789708,-1.42212568501643,-6.59475228491243,3.49544356384014,2021-04-05T20:12:00.000
-6854.49720448107,610.785075052083,-654.724423701833,-0.927623291572449,-6.65345328753121,3.55074259821391,2021-04-05T20:13:00.000
-6895.21140280522,210.539500419172,-440.407231374385,-0.42901275782867,-6.68322977122771,3.59056782214046,2021-04-05T20:14:00.000
-6905.94005473657,-190.621177708616,-224.169390357951,0.071531570866673,-6.68394454787313,3.61474016470721,2021-04-05T20:15:00.000
-6886.63258977256,-590.952327400954,-6.95371348508138,0.571827097074095,-6.65558762835313,3.62314971604679,2021-04-05T20:16:00.000
-6837.3694380868,-988.712508974503,210.292457708443,1.06969117304534,-6.59827570257664,3.6157556656603,2021-04-05T20:17:00.000
-6758.36175816439,-1382.17110034897,426.621425506218,1.56295039918602,-6.51225237914201,3.59258692651906,2021-04-05T20:18:00.000
-6649.95059305291,-1769.61588293639,641.089329372048,2.04945046894243,-6.39788759851945,3.55374249704777,2021-04-05T20:19:00.000
-6512.60541739643,-2149.36058548484,852.760326071971,2.52706601133037,-6.25567570834393,3.49939039109819,2021-04-05T20:20:00.000
-6346.92215710606,-2519.75229534341,1060.71069372296,2.99370888585856,-6.08623426064718,3.42976648507355,2021-04-05T20:21:00.000
-6153.62063596337,-2879.17881485338,1264.03290867612,3.44733951738313,-5.89030250548267,3.34517494887477,2021-04-05T20:22:00.000
-5933.54130614003,-3226.07582331382,1461.83969494252,3.88597779289072,-5.66873581665805,3.24598587469722,2021-04-05T20:23:00.000
-5687.64146516118,-3558.93368040175,1653.26789357156,4.30771034482145,-5.42250106664345,3.13263285017923,2021-04-05T20:24:00.000
-5416.99101341597,-3876.30399441796,1837.48222309313,4.71069818696911,-5.15267197507778,3.00561113583478,2021-04-05T20:25:00.000
